iter	Logloss
0	0.6884040445
1	0.683670387
2	0.6799886307
3	0.6743545476
4	0.6700592994
5	0.6643340065
6	0.6592961238
7	0.6547835373
8	0.6510815826
9	0.6467914258
10	0.6420993797
11	0.6376710859
12	0.6334002462
13	0.6286010952
14	0.6240036251
15	0.6192964163
16	0.6149899767
17	0.6122704533
18	0.6099480146
19	0.605893979
20	0.602812607
21	0.5992160003
22	0.597158425
23	0.5933464007
24	0.5900239492
25	0.5864353658
26	0.584232688
27	0.5804160279
28	0.5769569837
29	0.5733979819
30	0.5697804094
31	0.5680742549
32	0.5648676052
33	0.5616594391
34	0.5586629725
35	0.5555533408
36	0.5525974202
37	0.549809143
38	0.5483368284
39	0.5454283732
40	0.5428743253
41	0.5405789466
42	0.5378793641
43	0.5349177636
44	0.5325592849
45	0.5301968571
46	0.5282292977
47	0.5253690401
48	0.5229357998
49	0.5205895929
50	0.5180364004
51	0.5157567618
52	0.5134185125
53	0.5119343409
54	0.5097163395
55	0.5085224402
56	0.5067182495
57	0.5050322912
58	0.5028919521
59	0.5012594226
60	0.4997192074
61	0.4982250178
62	0.4962421451
63	0.4953650478
64	0.4932814335
65	0.4915265291
66	0.4899014072
67	0.4887744967
68	0.4876603729
69	0.4859030253
70	0.4845192287
71	0.4831224839
72	0.4817872876
73	0.4809358895
74	0.4792366756
75	0.4776327867
76	0.4768031947
77	0.4755812042
78	0.4737911124
79	0.4727482916
80	0.4708020353
81	0.4695405583
82	0.4686588375
83	0.4671191143
84	0.4657386361
85	0.464462472
86	0.4631755376
87	0.4626344849
88	0.4613437743
89	0.4599295724
90	0.458363746
91	0.4572454085
92	0.4567564981
93	0.4557975763
94	0.4545419255
95	0.4531270546
96	0.4520448435
97	0.4507155867
98	0.4497018264
99	0.448765413
100	0.4475338494
101	0.4463773782
102	0.445122925
103	0.4440094913
104	0.442671149
105	0.4416799601
106	0.4405913
107	0.4396512186
108	0.4385058592
109	0.4373973562
110	0.436514536
111	0.4361830622
112	0.4351184352
113	0.4343049928
114	0.4339919006
115	0.433395584
116	0.4326830353
117	0.4315815182
118	0.4308090111
119	0.4299877331
120	0.4293780743
121	0.4284877235
122	0.4274993478
123	0.4266424185
124	0.4261213454
125	0.4252761279
126	0.4246912306
127	0.4239017095
128	0.422909187
129	0.4221525175
130	0.421624658
131	0.4211584811
132	0.4204379585
133	0.4196872543
134	0.4190182556
135	0.4179740581
136	0.4174546241
137	0.4166870491
138	0.4161804962
139	0.4154397639
140	0.4146115519
141	0.4141874011
142	0.4136120949
143	0.4132061744
144	0.4128393036
145	0.4121464796
146	0.411434964
147	0.4106769277
148	0.4101785864
149	0.4096050884
150	0.4093064403
151	0.4086695604
152	0.4079839217
153	0.4073048626
154	0.4071561331
155	0.4064178545
156	0.4058143066
157	0.4051341109
158	0.4045674065
159	0.4040445943
160	0.4039116312
161	0.4037103368
162	0.4030541139
163	0.4024381231
164	0.4020977453
165	0.4014402434
166	0.4008814926
167	0.4005334132
168	0.4000777445
169	0.399772156
170	0.3992554001
171	0.3989304773
172	0.3982087701
173	0.3977381974
174	0.3973425929
175	0.3970915278
176	0.3966775366
177	0.3965803217
178	0.3961336022
179	0.395675852
180	0.3951543201
181	0.3946947363
182	0.3943894844
183	0.3938231493
184	0.3933551911
185	0.3929787277
186	0.3927317008
187	0.3924107425
188	0.3920056813
189	0.3915042271
190	0.3912696715
191	0.3910888321
192	0.3909847716
193	0.3905402421
194	0.3902056918
195	0.3899038898
196	0.3895787601
197	0.3891341405
198	0.3888527963
199	0.3883667106
200	0.3879282427
201	0.3874810395
202	0.387087287
203	0.3867174365
204	0.386531989
205	0.3861786433
206	0.3857144537
207	0.3852284417
